id,inclinacion_peligrosa
1,0.18553537295162367
2,0.21489908402204913
4,0.11846518644706276
6,0.12428145316948067
9,0.42302011915120014
13,0.06190434127909057
14,0.15962411375513308
17,0.15078292552942463
23,0.04137173853462892
28,0.14182929009481096
30,0.13241132201958236
31,0.057531610512252494
34,0.10916675662856531
35,0.03610887529567823
44,0.08841111577432122
48,0.03575274519822072
49,0.057858509132603674
51,0.1413811125524265
52,0.0830336535324323
53,0.05216318991608998
61,0.1417304965501801
62,0.36225953099026414
66,0.19242427149427116
73,0.025530189317235396
83,0.1826549050311662
86,0.17722557037107178
92,0.03445533963113005
102,0.22526732951036588
110,0.09538166209761959
111,0.19521725714249658
115,0.013462054770597894
119,0.00911046892281045
120,0.0435612423703439
122,0.03547750819880044
123,0.0562042557527066
127,0.029710353724215408
128,0.011885693073798978
131,0.010402577834416388
141,0.006179179490537385
142,0.03639860667836976
144,0.006956385264192456
152,0.016723667171280557
156,0.013593644873583003
157,0.009061193335477795
158,0.005279468246630857
160,0.04782136874675814
163,0.011741114788076901
164,0.005601064666957504
167,0.08097532844790425
169,0.007437569228175409
171,0.014202923500560743
175,0.012364038269961916
176,0.02802941840971338
178,0.11828351604217628
183,0.0150679895156029
184,0.011908459688397818
197,0.01985111343628949
201,0.027948508661391175
202,0.04082932327450666
203,0.04116039204614957
209,0.4921674319116056
210,0.5472765298228889
214,0.2579760140105521
221,0.2228388275291243
225,0.15975354053368765
227,0.3625594709261307
236,0.19958573221514692
238,0.326037348267181
241,0.14632333522542001
244,0.12297620327845399
249,0.05008558301853813
251,0.04828135654325904
254,0.009992340613532266
256,0.029902083034004125
264,0.0300146681108337
267,0.15723947970610225
270,0.1113189837556905
273,0.33053782710454416
275,0.057245330268897616
276,0.12574110300208602
279,0.14306941373275692
280,0.14073296271414418
285,0.2953783933680272
286,0.29294835016430504
287,0.2901104667856656
289,0.2513999117818756
290,0.2415335089066517
300,0.07589332863925773
301,0.07014685087927991
302,0.2786232373211434
303,0.07021773733925638
304,0.3068254871754797
307,0.0869423570431861
312,0.0743114280982926
315,0.04870322518818176
319,0.10728285744224945
323,0.1557312780755876
328,0.03780701416296876
336,0.05347840879406143
343,0.09000389305877388
345,0.10773668463759523
346,0.07598819619361014
350,0.10065658509162578
356,0.11045498610497549
363,0.03036678213016865
365,0.09328885800684865
368,0.06251902165027473
370,0.2032367540859985
371,0.2693151487899002
373,0.1501018993780491
374,0.055992411647781896
375,0.1952556860395842
376,0.221766030034635
377,0.162434113568
379,0.24507973382169018
380,0.2267349970706339
381,0.16259625244758863
385,0.23600519286343583
388,0.20828651950643348
399,0.1894119222789347
404,0.1960579712704434
409,0.0516774058519409
411,0.1533601054801952
417,0.06447047188207214
420,0.05689099533305246
421,0.1116135983555478
436,0.058079884221941346
441,0.11852815704267158
442,0.1244944268403614
450,0.11555572321445559
455,0.1718388321013818
456,0.17523849464754354
461,0.3308410096162384
462,0.1364087471423448
464,0.12290039775359798
467,0.29334003754962795
475,0.44557666260017453
478,0.040878791899582004
484,0.2631598963130671
485,0.017548106950944733
493,0.11705442844430496
499,0.13034703094919572
504,0.1439792701288721
505,0.37951247341063987
509,0.040725726527039506
